anio,id_diputado,nombre_completo,rank_asistencia,pct_asistencia_ponderada,sesiones_consideradas,pct_cobertura_registro,flag_cobertura,publicar_en_ranking,status_2025,nota_status,fuente_status,no_asiste_total,no_asiste_con_just,no_asiste_sin_just,pct_no_asiste_justificada,missing_no_evaluable,disclaimer_notas,fecha_generacion
2025,1021,Andrés Celis Montt,1,100.0,95,100.0,ok,1,,,,28,28,0,100.0,0,Inasistencias justificadas: 28/28 (100.0%).,2026-02-27
2025,1046,Andrés Longton Herrera,2,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,971,Bernardo Berger Fett,3,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1140,Daniel Lilayu Vivanco,4,100.0,121,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,1111,Fernando Bórquez Montecinos,5,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1034,Félix González Gatica,6,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1138,Henry Leal Bizama,7,100.0,121,100.0,ok,1,,,,2,2,0,100.0,0,Inasistencias justificadas: 2/2 (100.0%).,2026-02-27
2025,1062,Joanna Pérez Olea,8,100.0,119,100.0,ok,1,,,,4,4,0,100.0,0,Inasistencias justificadas: 4/4 (100.0%).,2026-02-27
2025,999,Jorge Rathgeb Schifferli,9,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1019,José Miguel Castro Bascuñán,10,100.0,115,100.0,ok,1,,,,8,8,0,100.0,0,Inasistencias justificadas: 8/8 (100.0%).,2026-02-27
2025,1002,Leonardo Soto Ferrada,11,100.0,117,100.0,ok,1,,,,6,6,0,100.0,0,Inasistencias justificadas: 6/6 (100.0%).,2026-02-27
2025,1127,Lorena Fries Monleón,12,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1038,Marcos Ilabaca Cerda,13,100.0,117,100.0,ok,1,,,,6,6,0,100.0,0,Inasistencias justificadas: 6/6 (100.0%).,2026-02-27
2025,1157,Marlene Pérez Cartes,14,100.0,116,100.0,ok,1,,,,7,7,0,100.0,0,Inasistencias justificadas: 7/7 (100.0%).,2026-02-27
2025,1113,Marta Bravo Salinas,15,100.0,120,100.0,ok,1,,,,3,3,0,100.0,0,Inasistencias justificadas: 3/3 (100.0%).,2026-02-27
2025,1050,Miguel Mellado Suazo,16,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1106,Miguel Ángel Becker Alvear,17,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
2025,1182,Sebastián Videla Castillo,18,100.0,123,100.0,ok,1,,,,0,0,0,,0,,2026-02-27
